id_strate,N_pop,n_samp,total_spots_sample,scaled_total_spots,sample_ci_l,sample_ci_h,total_parking_pred,scaled_ci_l,scaled_ci_h
34,156,17,817,60950.117647058825,-1315.2249999999997,-282.0,7301,-110751.95709342558,-23746.546712802767
39,176,27,1866,43296.0,-2624.4499999999994,141.04999999999973,5586,-111515.72455418379,5993.367352537712
41,1623,27,666,399258.0,-504.0,20.0,57803,-1821126.2222222222,72266.91358024691
42,149,23,962,43028.608695652176,-1072.0,24.049999999999727,4529,-44989.55009451796,1009.3271266540529
40,1552,30,1668,343612.8,-1060.1499999999996,97.02499999999986,67217,-2837319.49511111,259671.67288888854
36,97748,30,36,21641407.2,51.0,81.02499999999986,130100,541431385.2266667,860185842.9017764
43,23621,30,124,5229689.4,-31.024999999999956,45.0,88139,-19233832.957805526,27897582.05
44,2465,24,503,682188.75,-136.0,79.0,78783,-1434664.236111111,833371.1371527776
